Shipment_ID,Order_Date,Shipping_Mode,Region,Market,Product_Category,Priority,Distance_km,Shipment_Weight_kg,Order_Quantity,Scheduled_Days,Actual_Delivery_Days,Shipping_Cost,Sales_Value,Delay_Days,On_Time,Cost_per_Unit
SHP100024,2017-01-05 09:10:21.310655327,Standard Class,USCA,USCA,Clothing,Medium,1288.69,4.67,4,4,7,67.78,323.33,3,0,16.945
SHP100025,2017-01-05 13:33:17.198599299,Standard Class,Western Europe,Pacific Asia,Sports,Low,886.5,13.28,1,4,5,91.66,132.44,1,0,91.66
SHP100026,2017-01-05 17:56:13.086543271,Standard Class,Central America,USCA,Office Supplies,High,719.49,14.22,4,4,6,77.83,506.25,2,0,19.4575
SHP100027,2017-01-05 22:19:08.974487243,First Class,Western Europe,LATAM,Sports,High,623.6,27.64,4,2,2,113.8,621.27,0,1,28.45
SHP100028,2017-01-06 02:42:04.862431215,First Class,Western Europe,Europe,Office Supplies,Critical,548.27,6.06,5,2,1,94.47,243.99,0,1,18.894
SHP100029,2017-01-06 07:05:00.750375187,Standard Class,Eastern Asia,Europe,Clothing,Medium,1560.51,22.99,2,4,5,124.67,347.31,1,0,62.335
SHP100030,2017-01-06 11:27:56.638319159,Second Class,Eastern Asia,Africa,Clothing,High,985.06,32.004999999999995,1,3,4,118.58,293.71,1,0,118.58
SHP100031,2017-01-06 15:50:52.526263131,First Class,South America,Europe,Clothing,Medium,583.14,9.9,2,2,1,86.0,196.78,0,1,43.0
SHP100032,2017-01-06 20:13:48.414207103,First Class,South America,Pacific Asia,Office Supplies,High,456.18,5.99,7,2,2,99.63,506.01,0,1,14.232857142857142
SHP100033,2017-01-07 00:36:44.302151075,Standard Class,Eastern Asia,Europe,Technology,High,1189.98,9.74,3,4,5,80.99,427.1,1,0,26.996666666666666
SHP100034,2017-01-07 04:59:40.190095047,Same Day,Eastern Asia,Pacific Asia,Clothing,High,1536.91,12.28,2,1,2,159.01,273.62,1,0,79.505
SHP100035,2017-01-07 09:22:36.078039019,Standard Class,Western Europe,Pacific Asia,Office Supplies,High,1449.01,16.61,3,4,5,99.41,409.68,1,0,33.13666666666666
SHP100036,2017-01-07 13:45:31.965982991,Standard Class,South America,Africa,Technology,Critical,394.3,8.8,2,4,5,38.04,243.89,1,0,19.02
SHP100037,2017-01-07 18:08:27.853926963,Standard Class,Eastern Asia,Europe,Office Supplies,High,619.61,28.66,4,4,4,101.67,612.05,0,1,25.4175
SHP100038,2017-01-07 22:31:23.741870935,Standard Class,Central America,Africa,Office Supplies,High,539.93,6.6,3,4,4,43.13,236.42,0,1,14.376666666666667
SHP100039,2017-01-08 02:54:19.629814907,Standard Class,Central America,USCA,Clothing,Low,682.22,4.68,1,4,3,53.93,186.26,0,1,53.93
SHP100040,2017-01-08 07:17:15.517758879,Standard Class,South America,LATAM,Technology,High,1348.79,22.39,3,4,7,113.06,493.68,3,0,37.68666666666667
SHP100041,2017-01-08 11:40:11.405702851,Standard Class,Central America,Europe,Office Supplies,Medium,1848.17,3.49,4,4,5,92.13,155.38,1,0,23.0325
SHP100042,2017-01-08 16:03:07.293646823,First Class,USCA,USCA,Office Supplies,Medium,1010.37,10.89,4,2,2,124.87,359.91,0,1,31.2175
SHP100043,2017-01-08 20:26:03.181590795,First Class,Western Europe,USCA,Office Supplies,Low,469.02,32.004999999999995,4,2,1,132.38,609.98,0,1,33.095
SHP100044,2017-01-09 00:48:59.069534767,Standard Class,South America,Africa,Office Supplies,High,763.62,12.1,2,4,8,79.29,251.19,4,0,39.645
SHP100045,2017-01-09 05:11:54.957478739,First Class,USCA,Africa,Clothing,Medium,2068.18,6.58,1,2,1,138.08,117.94,0,1,138.08
SHP100046,2017-01-09 09:34:50.845422711,First Class,Eastern Asia,LATAM,Office Supplies,Medium,835.02,11.8,2,2,2,114.32,275.37,0,1,57.16
SHP100047,2017-01-09 13:57:46.733366683,Second Class,USCA,LATAM,Technology,High,624.63,11.85,4,3,4,72.3,309.88,1,0,18.075
SHP100048,2017-01-09 18:20:42.621310655,Standard Class,Central America,LATAM,Sports,High,664.58,13.31,6,4,5,64.4,471.42,1,0,10.733333333333334
SHP100049,2017-01-09 22:43:38.509254627,Second Class,Western Europe,LATAM,Technology,High,1007.29,17.54,2,3,5,117.34,238.87,2,0,58.67
SHP100050,2017-01-10 03:06:34.397198599,First Class,Eastern Asia,Africa,Office Supplies,Medium,405.56,6.88,3,2,5,82.31,220.72,3,0,27.436666666666667
SHP100051,2017-01-10 07:29:30.285142571,Second Class,Oceania,Pacific Asia,Office Supplies,Medium,529.89,30.82,3,3,4,112.66,494.25,1,0,37.553333333333335
SHP100052,2017-01-10 11:52:26.173086543,Standard Class,Western Europe,Africa,Technology,Medium,1435.33,13.94,1,4,3,94.63,266.79,0,1,94.63
SHP100053,2017-01-10 16:15:22.061030515,Standard Class,Central America,Pacific Asia,Sports,Medium,988.18,18.17,1,4,4,85.0,271.09,0,1,85.0
SHP100054,2017-01-10 20:38:17.948974487,Second Class,Western Europe,Africa,Clothing,Low,841.04,8.62,1,3,4,85.21,160.15,1,0,85.21
SHP100055,2017-01-11 01:01:13.836918459,Standard Class,Oceania,Africa,Sports,Critical,1481.54,24.72,1,4,7,103.85,369.17,3,0,103.85
SHP100056,2017-01-11 05:24:09.724862431,Standard Class,Oceania,LATAM,Sports,Medium,446.2,10.58,2,4,3,61.95,142.32,0,1,30.975
SHP100057,2017-01-11 09:47:05.612806403,Standard Class,Western Europe,Pacific Asia,Sports,Low,610.61,14.19,3,4,6,81.7,277.39,2,0,27.233333333333334
SHP100058,2017-01-11 14:10:01.500750375,First Class,Eastern Asia,USCA,Technology,Medium,966.49,7.29,4,2,3,106.64,464.92,1,0,26.66
SHP100059,2017-01-11 18:32:57.388694347,First Class,USCA,USCA,Sports,Medium,943.54,7.04,7,2,3,105.55,534.13,1,0,15.078571428571427
SHP100060,2017-01-11 22:55:53.276638319,Standard Class,Eastern Asia,USCA,Office Supplies,Medium,220.0,17.79,4,4,4,67.69,293.85,0,1,16.9225
SHP100061,2017-01-12 03:18:49.164582291,Same Day,Oceania,LATAM,Office Supplies,Low,566.55,9.54,3,1,1,119.08,223.81,0,1,39.693333333333335
SHP100062,2017-01-12 07:41:45.052526263,Standard Class,South America,USCA,Technology,Critical,695.04,7.62,3,4,5,68.77,314.56,1,0,22.923333333333332
SHP100063,2017-01-12 12:04:40.940470235,Second Class,South America,Africa,Technology,Medium,1039.46,8.55,2,3,4,102.57,262.55,1,0,51.285
SHP100064,2017-01-12 16:27:36.828414207,Second Class,Eastern Asia,LATAM,Sports,Low,941.27,17.89,2,3,5,84.47,402.11,2,0,42.235
SHP100065,2017-01-12 20:50:32.716358179,First Class,South America,USCA,Office Supplies,Low,742.05,8.62,4,2,2,102.65,430.71,0,1,25.6625
SHP100066,2017-01-13 01:13:28.604302151,First Class,Eastern Asia,LATAM,Office Supplies,Medium,117.96,11.42,2,2,2,65.38,206.48,0,1,32.69
SHP100067,2017-01-13 05:36:24.492246123,Standard Class,Central America,Africa,Office Supplies,Low,768.88,12.28,1,4,3,68.87,246.72,0,1,68.87
SHP100068,2017-01-13 09:59:20.380190095,First Class,Eastern Asia,LATAM,Technology,Low,819.07,4.24,1,2,3,94.19,172.07,1,0,94.19
SHP100069,2017-01-13 14:22:16.268134067,Standard Class,Central America,USCA,Clothing,Medium,2338.11,5.42,4,4,5,141.34,241.78,1,0,35.335
SHP100070,2017-01-13 18:45:12.156078039,Second Class,USCA,LATAM,Office Supplies,Medium,678.72,14.66,3,3,2,106.68,459.44,0,1,35.56
SHP100071,2017-01-13 23:08:08.044022011,Second Class,Oceania,Europe,Technology,Low,970.08,8.12,3,3,3,96.02,291.93,0,1,32.00666666666667
SHP100072,2017-01-14 03:31:03.931965983,Second Class,South America,USCA,Sports,Medium,1639.63,21.78,6,3,3,146.81,799.89,0,1,24.468333333333334
SHP100073,2017-01-14 07:53:59.819909955,Standard Class,USCA,Africa,Office Supplies,Medium,1299.48,20.73,3,4,3,99.91,258.95,0,1,33.303333333333335
SHP100074,2017-01-14 12:16:55.707853927,First Class,USCA,Pacific Asia,Sports,Medium,1895.89,18.09,1,2,2,142.81,312.75,0,1,142.81
SHP100075,2017-01-14 16:39:51.595797899,Standard Class,Oceania,LATAM,Office Supplies,Medium,223.34,32.004999999999995,6,4,3,97.25,887.53,0,1,16.208333333333332
SHP100076,2017-01-14 21:02:47.483741871,Standard Class,Western Europe,LATAM,Sports,Low,341.9,11.64,3,4,4,47.32,465.69,0,1,15.773333333333333
SHP100077,2017-01-15 01:25:43.371685843,Second Class,Western Europe,USCA,Technology,Low,501.87,17.41,2,3,3,93.74,350.27,0,1,46.87
SHP100078,2017-01-15 05:48:39.259629815,Standard Class,USCA,USCA,Sports,Medium,188.37,8.83,5,4,3,49.35,338.09,0,1,9.870000000000001
SHP100079,2017-01-15 10:11:35.147573787,First Class,USCA,Europe,Technology,Medium,824.01,32.004999999999995,5,2,5,145.76,717.48,3,0,29.151999999999997
SHP100080,2017-01-15 14:34:31.035517759,Standard Class,Oceania,Africa,Sports,Low,365.91,32.004999999999995,5,4,6,105.18,624.93,2,0,21.036
SHP100081,2017-01-15 18:57:26.923461731,Standard Class,Eastern Asia,LATAM,Sports,Medium,2052.11,12.26,5,4,4,122.47,366.36,0,1,24.494
SHP100082,2017-01-15 23:20:22.811405703,First Class,Eastern Asia,LATAM,Sports,High,414.96,15.07,1,2,3,91.92,209.78,1,0,91.92
SHP100083,2017-01-16 03:43:18.699349674,Standard Class,South America,Pacific Asia,Office Supplies,High,613.33,25.73,4,4,5,90.17,360.48,1,0,22.5425
SHP100084,2017-01-16 08:06:14.587293646,Standard Class,Oceania,LATAM,Clothing,High,1349.6,11.24,1,4,6,97.12,149.72,2,0,97.12
SHP100085,2017-01-16 12:29:10.475237618,Second Class,Western Europe,LATAM,Clothing,High,268.57,8.49,1,3,3,51.82,238.2,0,1,51.82
SHP100086,2017-01-16 16:52:06.363181590,Standard Class,Oceania,Europe,Office Supplies,Critical,176.05,19.7,5,4,6,71.87,637.06,2,0,14.374
SHP100087,2017-01-16 21:15:02.251125562,Second Class,Oceania,Pacific Asia,Sports,High,894.79,12.27,6,3,3,87.45,322.37,0,1,14.575000000000001
SHP100088,2017-01-17 01:37:58.139069534,Standard Class,South America,LATAM,Sports,Medium,942.78,13.47,3,4,3,92.39,168.76,0,1,30.796666666666667
SHP100089,2017-01-17 06:00:54.027013506,First Class,Eastern Asia,LATAM,Office Supplies,Medium,1323.65,7.7,2,2,3,120.12,148.97,1,0,60.06
SHP100090,2017-01-17 10:23:49.914957478,First Class,USCA,Africa,Technology,Medium,1123.26,4.74,2,2,4,102.28,117.45,2,0,51.14
SHP100091,2017-01-17 14:46:45.802901450,Second Class,Western Europe,LATAM,Technology,High,967.06,13.87,2,3,6,95.35,209.8,3,0,47.675
SHP100092,2017-01-17 19:09:41.690845422,Standard Class,South America,Europe,Office Supplies,Critical,454.94,20.04,4,4,3,79.67,347.78,0,1,19.9175
SHP100093,2017-01-17 23:32:37.578789394,First Class,Western Europe,LATAM,Clothing,Medium,924.97,10.76,2,2,3,85.68,223.82,1,0,42.84
SHP100094,2017-01-18 03:55:33.466733366,Second Class,Western Europe,LATAM,Technology,High,964.48,26.84,2,3,3,104.88,355.51,0,1,52.44
SHP100095,2017-01-18 08:18:29.354677338,Second Class,Eastern Asia,USCA,Office Supplies,Medium,441.38,8.27,1,3,4,69.59,124.12,1,0,69.59
SHP100096,2017-01-18 12:41:25.242621310,Standard Class,USCA,LATAM,Technology,Medium,2338.11,6.82,3,4,3,120.71,253.85,0,1,40.236666666666665
SHP100097,2017-01-18 17:04:21.130565282,First Class,USCA,Pacific Asia,Office Supplies,Medium,1088.54,11.74,1,2,1,92.5,250.8,0,1,92.5
SHP100098,2017-01-18 21:27:17.018509254,Second Class,Eastern Asia,USCA,Technology,Medium,347.16,11.64,7,3,3,67.96,766.87,0,1,9.708571428571428
SHP100099,2017-01-19 01:50:12.906453226,Standard Class,South America,Pacific Asia,Technology,Medium,1327.93,18.61,2,4,5,108.68,239.45,1,0,54.34
SHP100100,2017-01-19 06:13:08.794397198,Standard Class,Central America,Pacific Asia,Office Supplies,High,1476.93,7.95,4,4,4,101.88,262.01,0,1,25.47
SHP100101,2017-01-19 10:36:04.682341170,First Class,South America,Europe,Clothing,High,1045.52,25.85,8,2,3,132.32,684.04,1,0,16.54
SHP100102,2017-01-19 14:59:00.570285142,Standard Class,South America,LATAM,Clothing,High,651.45,32.004999999999995,1,4,6,107.67,211.69,2,0,107.67
SHP100103,2017-01-19 19:21:56.458229114,Same Day,Central America,Pacific Asia,Technology,Medium,426.15,11.92,4,1,2,112.87,394.64,1,0,28.2175
SHP100104,2017-01-19 23:44:52.346173086,Second Class,Western Europe,LATAM,Technology,High,740.58,24.22,1,3,5,96.77,177.33,2,0,96.77
SHP100105,2017-01-20 04:07:48.234117058,Second Class,Oceania,LATAM,Clothing,Medium,996.51,6.81,3,3,4,95.8,222.56,1,0,31.933333333333334
SHP100106,2017-01-20 08:30:44.122061030,Standard Class,Central America,Europe,Office Supplies,Medium,791.48,22.01,2,4,3,87.21,175.67,0,1,43.605
SHP100107,2017-01-20 12:53:40.010005002,Standard Class,Oceania,Europe,Sports,High,1948.83,21.67,2,4,6,114.77,432.69,2,0,57.385
SHP100108,2017-01-20 17:16:35.897948974,First Class,Western Europe,Pacific Asia,Technology,Medium,1200.62,19.59,3,2,2,126.03,203.28,0,1,42.01
SHP100109,2017-01-20 21:39:31.785892946,Standard Class,Central America,Pacific Asia,Sports,Low,387.83,12.08,1,4,6,68.13,191.33,2,0,68.13
SHP100110,2017-01-21 02:02:27.673836918,Second Class,Eastern Asia,USCA,Technology,Medium,316.06,2.4,2,3,5,47.27,105.12,2,0,23.635
SHP100111,2017-01-21 06:25:23.561780890,Standard Class,South America,LATAM,Clothing,High,1094.72,8.56,2,4,5,67.3,180.04,1,0,33.65
SHP100112,2017-01-21 10:48:19.449724862,Standard Class,Central America,LATAM,Office Supplies,Medium,662.63,8.63,5,4,3,74.89,625.37,0,1,14.978
SHP100113,2017-01-21 15:11:15.337668834,Standard Class,Central America,Europe,Technology,Medium,1269.23,7.11,4,4,3,87.55,456.94,0,1,21.8875
SHP100114,2017-01-21 19:34:11.225612806,Standard Class,Western Europe,Europe,Sports,High,1088.12,13.03,1,4,6,82.01,120.61,2,0,82.01
SHP100115,2017-01-21 23:57:07.113556778,Same Day,Eastern Asia,Pacific Asia,Clothing,High,742.95,9.68,10,1,1,135.71,909.1,0,1,13.571000000000002
SHP100116,2017-01-22 04:20:03.001500750,Standard Class,Central America,USCA,Technology,High,391.56,7.74,2,4,5,44.41,299.56,1,0,22.205
SHP100117,2017-01-22 08:42:58.889444722,Standard Class,Eastern Asia,USCA,Office Supplies,Medium,196.42,6.81,3,4,5,39.22,247.81,1,0,13.073333333333332
SHP100118,2017-01-22 13:05:54.777388694,Standard Class,Oceania,Europe,Technology,Medium,913.38,8.22,3,4,5,78.81,321.64,1,0,26.27
SHP100119,2017-01-22 17:28:50.665332666,Standard Class,Central America,Europe,Office Supplies,Medium,264.41,22.57,3,4,5,66.69,415.4,1,0,22.23
SHP100120,2017-01-22 21:51:46.553276638,Standard Class,Eastern Asia,USCA,Office Supplies,Medium,378.32,8.47,3,4,4,68.52,245.02,0,1,22.84
SHP100121,2017-01-23 02:14:42.441220610,First Class,South America,USCA,Clothing,High,875.56,9.18,4,2,2,111.23,325.65,0,1,27.8075
SHP100122,2017-01-23 06:37:38.329164582,Standard Class,Western Europe,Pacific Asia,Technology,Low,817.88,9.48,1,4,5,55.89,171.25,1,0,55.89
SHP100123,2017-01-23 11:00:34.217108554,Standard Class,USCA,USCA,Office Supplies,Medium,294.02,14.68,2,4,5,73.0,301.86,1,0,36.5
SHP100124,2017-01-23 15:23:30.105052526,Standard Class,Eastern Asia,LATAM,Clothing,High,1584.17,15.66,3,4,4,110.5,400.16,0,1,36.833333333333336
SHP100125,2017-01-23 19:46:25.992996498,Same Day,Western Europe,USCA,Technology,High,1557.5,2.28,4,1,3,144.08,448.11,2,0,36.02
SHP100126,2017-01-24 00:09:21.880940470,Standard Class,USCA,Africa,Office Supplies,High,1118.23,21.37,3,4,4,104.3,431.64,0,1,34.766666666666666
SHP100127,2017-01-24 04:32:17.768884442,Standard Class,Central America,USCA,Clothing,High,1117.33,26.84,2,4,4,108.83,442.93,0,1,54.415
SHP100128,2017-01-24 08:55:13.656828414,Second Class,Central America,Europe,Technology,High,1118.24,6.84,4,3,3,88.91,409.03,0,1,22.2275
SHP100129,2017-01-24 13:18:09.544772386,Second Class,Oceania,Europe,Office Supplies,High,1468.74,7.14,2,3,2,77.21,250.52,0,1,38.605
SHP100130,2017-01-24 17:41:05.432716358,Standard Class,Western Europe,Africa,Clothing,Medium,1220.34,9.51,3,4,4,93.67,371.83,0,1,31.223333333333333
SHP100131,2017-01-24 22:04:01.320660330,Standard Class,South America,LATAM,Clothing,Critical,418.89,8.04,7,4,6,58.27,248.71,2,0,8.324285714285715
SHP100132,2017-01-25 02:26:57.208604302,First Class,South America,USCA,Technology,Medium,655.81,13.78,4,2,2,109.39,473.14,0,1,27.3475
SHP100133,2017-01-25 06:49:53.096548274,Standard Class,Eastern Asia,USCA,Clothing,Medium,2338.11,4.18,1,4,5,148.2,101.21,1,0,148.2
SHP100134,2017-01-25 11:12:48.984492246,First Class,South America,Africa,Technology,Medium,126.52,6.59,3,2,2,61.59,391.47,0,1,20.53
SHP100135,2017-01-25 15:35:44.872436218,Second Class,USCA,Pacific Asia,Technology,High,543.18,28.4,5,3,3,106.91,662.6,0,1,21.381999999999998
SHP100136,2017-01-25 19:58:40.760380190,Standard Class,Western Europe,Pacific Asia,Office Supplies,High,1589.59,7.31,1,4,3,98.37,200.3,0,1,98.37
SHP100137,2017-01-26 00:21:36.648324162,Standard Class,Central America,LATAM,Technology,Medium,441.0,24.14,4,4,4,82.68,644.76,0,1,20.67
SHP100138,2017-01-26 04:44:32.536268134,Standard Class,Western Europe,USCA,Clothing,Low,1242.21,14.81,4,4,4,109.99,434.63,0,1,27.4975
SHP100139,2017-01-26 09:07:28.424212106,Second Class,Western Europe,USCA,Technology,High,810.44,4.5,4,3,4,70.25,155.79,1,0,17.5625
SHP100140,2017-01-26 13:30:24.312156078,Standard Class,Central America,USCA,Office Supplies,High,466.38,17.28,3,4,5,85.87,278.72,1,0,28.623333333333335
SHP100141,2017-01-26 17:53:20.200100050,Standard Class,USCA,Europe,Clothing,Medium,101.52,11.42,4,4,3,49.36,428.66,0,1,12.34
SHP100142,2017-01-26 22:16:16.088044022,Second Class,Western Europe,Pacific Asia,Office Supplies,Medium,895.93,9.48,1,3,5,83.9,205.36,2,0,83.9
SHP100143,2017-01-27 02:39:11.975987994,Same Day,South America,Africa,Sports,High,411.49,13.94,4,1,2,121.33,344.68,1,0,30.3325
SHP100144,2017-01-27 07:02:07.863931966,Standard Class,Eastern Asia,Europe,Office Supplies,Medium,719.99,15.82,2,4,5,81.27,202.13,1,0,40.635
SHP100145,2017-01-27 11:25:03.751875938,First Class,Eastern Asia,Europe,Sports,High,1110.94,17.98,6,2,2,138.88,769.41,0,1,23.146666666666665
SHP100146,2017-01-27 15:47:59.639819910,Standard Class,Western Europe,Pacific Asia,Sports,Low,1393.12,23.29,2,4,4,100.58,236.75,0,1,50.29
SHP100147,2017-01-27 20:10:55.527763882,Standard Class,USCA,USCA,Technology,Low,541.82,15.25,7,4,5,78.25,763.59,1,0,11.178571428571429
SHP100148,2017-01-28 00:33:51.415707854,Standard Class,Central America,LATAM,Clothing,Medium,465.68,5.72,5,4,5,57.66,564.67,1,0,11.532
SHP100149,2017-01-28 04:56:47.303651826,Standard Class,Oceania,Africa,Technology,Medium,260.22,9.39,3,4,2,44.62,338.05,0,1,14.873333333333333
SHP100150,2017-01-28 09:19:43.191595798,Standard Class,USCA,Pacific Asia,Clothing,Low,1437.45,32.004999999999995,3,4,4,147.55,463.36,0,1,49.18333333333334
SHP100151,2017-01-28 13:42:39.079539770,Standard Class,Western Europe,LATAM,Office Supplies,Low,2338.11,18.15,1,4,4,144.49,265.69,0,1,144.49
SHP100152,2017-01-28 18:05:34.967483742,First Class,Western Europe,Pacific Asia,Sports,High,1538.23,32.004999999999995,4,2,3,162.97,644.05,1,0,40.7425
SHP100153,2017-01-28 22:28:30.855427714,First Class,Oceania,Pacific Asia,Sports,Medium,1758.85,26.25,2,2,4,165.27,350.07,2,0,82.635
SHP100154,2017-01-29 02:51:26.743371686,Second Class,Eastern Asia,Pacific Asia,Sports,High,444.0,13.92,3,3,3,68.68,208.11,0,1,22.893333333333334
SHP100155,2017-01-29 07:14:22.631315658,Standard Class,USCA,Pacific Asia,Office Supplies,Medium,1067.25,14.38,3,4,4,79.77,278.83,0,1,26.59
SHP100156,2017-01-29 11:37:18.519259630,Standard Class,Eastern Asia,USCA,Office Supplies,High,1317.81,11.94,2,4,4,95.19,196.79,0,1,47.595
SHP100157,2017-01-29 16:00:14.407203602,Standard Class,Oceania,Europe,Technology,Medium,20.0,4.68,3,4,4,46.73,199.0,0,1,15.576666666666666
SHP100158,2017-01-29 20:23:10.295147574,Second Class,Central America,Pacific Asia,Technology,Medium,330.85,12.3,4,3,3,75.18,281.49,0,1,18.795
SHP100159,2017-01-30 00:46:06.183091546,First Class,Western Europe,LATAM,Clothing,Medium,2143.32,23.71,2,2,3,151.15,356.64,1,0,75.575
SHP100160,2017-01-30 05:09:02.071035518,Standard Class,South America,LATAM,Clothing,Medium,216.38,8.76,6,4,3,62.51,738.55,0,1,10.418333333333333
SHP100161,2017-01-30 09:31:57.958979490,Standard Class,Eastern Asia,LATAM,Sports,High,1935.95,15.28,2,4,5,112.93,300.73,1,0,56.465
SHP100162,2017-01-30 13:54:53.846923462,Standard Class,Eastern Asia,Europe,Office Supplies,High,214.99,19.46,2,4,3,75.64,322.15,0,1,37.82
SHP100163,2017-01-30 18:17:49.734867434,Standard Class,USCA,Europe,Office Supplies,High,344.89,7.39,4,4,4,49.95,416.85,0,1,12.4875
SHP100164,2017-01-30 22:40:45.622811406,Standard Class,Eastern Asia,LATAM,Technology,Medium,1080.19,9.5,5,4,4,95.71,494.82,0,1,19.142
SHP100165,2017-01-31 03:03:41.510755377,Second Class,Central America,USCA,Technology,High,824.74,6.96,4,3,5,77.63,290.16,2,0,19.4075
SHP100166,2017-01-31 07:26:37.398699349,Second Class,Oceania,Europe,Clothing,Medium,583.03,7.75,5,3,3,70.66,319.18,0,1,14.132
SHP100167,2017-01-31 11:49:33.286643321,Standard Class,Central America,Europe,Clothing,Critical,2091.69,6.0,3,4,2,92.25,389.28,0,1,30.75
SHP100168,2017-01-31 16:12:29.174587293,Standard Class,Eastern Asia,USCA,Technology,High,266.62,7.42,2,4,2,39.76,312.96,0,1,19.88
SHP100169,2017-01-31 20:35:25.062531265,Same Day,USCA,Pacific Asia,Technology,Low,811.27,26.59,4,1,2,146.97,518.8,1,0,36.7425
SHP100170,2017-02-01 00:58:20.950475237,Standard Class,Western Europe,Europe,Office Supplies,Medium,1172.37,7.36,5,4,5,85.69,202.26,1,0,17.137999999999998
SHP100171,2017-02-01 05:21:16.838419209,Standard Class,Eastern Asia,LATAM,Clothing,Medium,956.55,13.06,3,4,5,87.99,440.96,1,0,29.33
SHP100172,2017-02-01 09:44:12.726363181,Standard Class,Western Europe,LATAM,Technology,High,478.21,9.24,1,4,5,65.06,197.0,1,0,65.06
SHP100173,2017-02-01 14:07:08.614307153,Standard Class,USCA,USCA,Technology,Medium,492.1,12.27,2,4,6,82.42,257.49,2,0,41.21
